date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:21:38	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Nov%202015%2003:22:04%20GMT	https://system76.com/videos/home/home-high.mp4	E:/websites/ecom/system76.com/videos/home/home-high.mp4	(from https://system76.com/)
22:21:38	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Nov%202015%2003:22:04%20GMT	https://system76.com/videos/home/home.webm	E:/websites/ecom/system76.com/videos/home/home.webm	(from https://system76.com/)
22:21:38	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Nov%202015%2003:22:04%20GMT	https://system76.com/videos/home/home.ogg	E:/websites/ecom/system76.com/videos/home/home.ogg	(from https://system76.com/)
22:21:38	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Nov%202015%2003:22:04%20GMT	https://system76.com/images/home/hero-3d.jpg	E:/websites/ecom/system76.com/images/home/hero-3d.jpg	(from https://system76.com/)
22:21:39	134090/134090	---M--	200	added ('OK')	image/jpeg	etag:9e4eb2d771ea43539c4e773c372f1cff	https://feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0homeo_0hero-3d.jpg	E:/websites/ecom/feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0homeo_0hero-3d.jpg	(from https://system76.com/)
22:21:39	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Nov%202015%2003:22:05%20GMT	https://system76.com/images/home/hero-gpu.jpg	E:/websites/ecom/system76.com/images/home/hero-gpu.jpg	(from https://system76.com/)
22:21:39	190920/190920	---M--	200	added ('OK')	image/jpeg	etag:34ba1a0231342011a10f049607ec68b7	https://feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0homeo_0hero-gpu.jpg	E:/websites/ecom/feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0homeo_0hero-gpu.jpg	(from https://system76.com/)
22:21:39	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Nov%202015%2003:22:05%20GMT	https://system76.com/images/home/hero-office.jpg	E:/websites/ecom/system76.com/images/home/hero-office.jpg	(from https://system76.com/)
22:21:40	205754/205754	---M--	200	added ('OK')	image/jpeg	etag:75c5ba96bcbe5a01abf130a18b0e3644	https://feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0homeo_0hero-office.jpg	E:/websites/ecom/feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0homeo_0hero-office.jpg	(from https://system76.com/)
22:21:40	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Nov%202015%2003:22:05%20GMT	https://system76.com/images/home/hero-laser.jpg	E:/websites/ecom/system76.com/images/home/hero-laser.jpg	(from https://system76.com/)
22:21:40	154030/154030	---M--	200	added ('OK')	image/jpeg	etag:ca13589587a780e6581b5b8a72355c86	https://feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0homeo_0hero-laser.jpg	E:/websites/ecom/feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0homeo_0hero-laser.jpg	(from https://system76.com/)
22:21:40	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Nov%202015%2003:22:06%20GMT	https://system76.com/images/home/hero-laptop.jpg	E:/websites/ecom/system76.com/images/home/hero-laptop.jpg	(from https://system76.com/)
22:21:40	100569/100569	---M--	200	added ('OK')	image/jpeg	etag:0e6f3656a5fd6706cf5b0e8db2f2ba14	https://feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0homeo_0hero-laptop.jpg	E:/websites/ecom/feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0homeo_0hero-laptop.jpg	(from https://system76.com/)
22:21:41	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Nov%202015%2003:22:06%20GMT	https://system76.com/images/home/hero-hacker.jpg	E:/websites/ecom/system76.com/images/home/hero-hacker.jpg	(from https://system76.com/)
22:21:41	124532/124532	---M--	200	added ('OK')	image/jpeg	etag:e126547d927ce89e3eaa745a9113bb44	https://feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0homeo_0hero-hacker.jpg	E:/websites/ecom/feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0homeo_0hero-hacker.jpg	(from https://system76.com/)
22:21:41	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Nov%202015%2003:22:07%20GMT	https://system76.com/images/home/hero-solder.jpg	E:/websites/ecom/system76.com/images/home/hero-solder.jpg	(from https://system76.com/)
22:21:41	162043/162043	---M--	200	added ('OK')	image/jpeg	etag:2a66e3e7a3be9d4bbc68e1a2c334f05a	https://feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0homeo_0hero-solder.jpg	E:/websites/ecom/feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0homeo_0hero-solder.jpg	(from https://system76.com/)
22:21:42	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Nov%202015%2003:22:07%20GMT	https://system76.com/images/home/hero-park.jpg	E:/websites/ecom/system76.com/images/home/hero-park.jpg	(from https://system76.com/)
22:21:42	397669/397669	---M--	200	added ('OK')	image/jpeg	etag:219afaeceac54c30de79d2fd0294d0ed	https://feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0homeo_0hero-park.jpg	E:/websites/ecom/feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0homeo_0hero-park.jpg	(from https://system76.com/)
22:21:42	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Nov%202015%2003:22:08%20GMT	https://system76.com/images/home/hero-server.jpg	E:/websites/ecom/system76.com/images/home/hero-server.jpg	(from https://system76.com/)
22:21:42	165289/165289	---M--	200	added ('OK')	image/jpeg	etag:b020aaaffca46da9f1c308ae66cc14ad	https://feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0homeo_0hero-server.jpg	E:/websites/ecom/feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0homeo_0hero-server.jpg	(from https://system76.com/)
22:21:42	22755/22755	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Nov%202015%2003:22:08%20GMT	https://system76.com/laptops/oryx	E:/websites/ecom/system76.com/laptops/oryx.html	(from https://system76.com/)
22:21:43	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Nov%202015%2003:22:08%20GMT	https://system76.com/images/laptops/oryx/orxp1/hero-home-text.png	E:/websites/ecom/system76.com/images/laptops/oryx/orxp1/hero-home-text.png	(from https://system76.com/)
22:21:43	7264/7264	---M--	200	added ('OK')	image/png	etag:065deba65b3497a34b09ab4ccae9146a	https://feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0laptopso_0oryxo_0orxp1o_0hero-home-text.png	E:/websites/ecom/feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0laptopso_0oryxo_0orxp1o_0hero-home-text.png	(from https://system76.com/)
22:21:43	23504/23504	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Nov%202015%2003:22:09%20GMT	https://system76.com/laptops/lemur	E:/websites/ecom/system76.com/laptops/lemur.html	(from https://system76.com/)
22:21:43	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Nov%202015%2003:22:09%20GMT	https://system76.com/images/laptops/lemur/lemu6/hero-home-text.png	E:/websites/ecom/system76.com/images/laptops/lemur/lemu6/hero-home-text.png	(from https://system76.com/)
